================================================================================
星途学习工作台 — R143 发布前只读盘点报告
（R143 + R144 合并发版 1.41 的准备工作）
生成方式：纯只读盘点。未修改任何源码/配置，未 git add/commit/checkout，未部署。
生成文件：tools/_r143_stamp_report.txt
================================================================================


【一】全站版本戳盘点
--------------------------------------------------------------------------------
执行命令：
  python tools/_r140_stamp_inventory.py
（该脚本只读：扫描仓库根目录 *.html，正则提取 <asset>.js/.css?v=<stamp>。
  注意：脚本用 os.listdir(ROOT) 仅扫描“根目录”下的 .html，
  因此 备份/、tools/、tools/qa/、tools/_r141_prod/、tools/_r142_prod/ 等子目录
  下的 html 不计入统计——这些均为备份/工具页，非上线页面。）

============== 脚本原始输出（stdout）开始 ==============
== 引用带戳静态资源的页面数：53 ==

== 各资产戳分布 ==
  单一 assets/admin-contact.js      20260917b(1页)
  单一 assets/admin.css             20260916O(1页)
  单一 assets/admin.js              20260916O(2页)
★多戳 assets/ai-cap-3d.js          20260922a(36页) 20260923b(2页)
★多戳 assets/ai-cap-audio.js       20260920c(36页) 20260923b(2页)
★多戳 assets/ai-cap-embed.js       20260920c(36页) 20260923b(2页)
★多戳 assets/ai-cap-image.js       20260920c(36页) 20260923b(2页)
★多戳 assets/ai-cap-registry.js    20260918c(35页) 20260918d(1页) 20260923b(2页)
★多戳 assets/ai-cap-translate.js   20260920c(36页) 20260923b(2页)
★多戳 assets/ai-cap-video.js       20260920c(36页) 20260923b(2页)
★多戳 assets/ai-cap-vision.js      20260920c(36页) 20260923b(2页)
★多戳 assets/ai-config.js          20260920c(2页) 20260925a(36页)
★多戳 assets/ai-page.js            20260920e(1页) 20260925a(1页)
★多戳 assets/ai-presets.js         20260916O(35页) 20260923b(2页)
★多戳 assets/ai-service.js         20260920e(2页) 20260925a(36页)
  单一 assets/ai-settings.js        20260923c(1页)
★多戳 assets/api.js                20260922c(2页) 20260924a(37页)
★多戳 assets/app.js                20260922c(1页) 20260923a(1页) 20260925a(43页)
  单一 assets/cet-read.js           20260916O(1页)
  单一 assets/cet-translate.js      20260916O(1页)
  单一 assets/chat-local.js         20260926b(1页)
  单一 assets/comm-cases.js         20260916O(1页)
★多戳 assets/common.css            20260920e(1页) 20260923a(4页) 20260923c(46页)
  单一 assets/company-lib.js        20260916O(1页)
★多戳 assets/config.js             20260916O(42页) 20260917(1页) 20260923b(2页)
  单一 assets/data-cet-read.js      20260916O(1页)
  单一 assets/data-cet-translate.js 20260916O(1页)
  单一 assets/data-comm-cases.js    20260916O(1页)
  单一 assets/data-exam-company.js  20260916O(1页)
  单一 assets/data-iv-after.js      20260916O(1页)
  单一 assets/data-iv-prep.js       20260916O(1页)
  单一 assets/data-ppt-templates.js 20260916O(1页)
  单一 assets/data/shenlun-inline.js 20260916O(1页)
  单一 assets/emoji/manifest.js     20260916O(1页)
★多戳 assets/error-boundary.js     20260916O(2页) 20260924a(43页)
  单一 assets/group-discussion.js   20260925b(1页)
  单一 assets/hotnews.js            20260916O(2页)
