项足 -> 项是   低频 1 次 | 高频对照 533 次
一从 -> 一个   低频 1 次 | 高频对照 512 次
说江 -> 说法   低频 1 次 | 高频对照 469 次
以正 -> 以上   低频 1 次 | 高频对照 449 次
土作 -> 工作   低频 1 次 | 高频对照 446 次
门题 -> 问题   低频 1 次 | 高频对照 399 次
义民 -> 人民   低频 1 次 | 高频对照 369 次
的入 -> 的人   低频 1 次 | 高频对照 342 次
维理 -> 推理   低频 1 次 | 高频对照 322 次
丙比 -> 同比   低频 1 次 | 高频对照 320 次
同此 -> 同比   低频 1 次 | 高频对照 320 次
再比 -> 同比   低频 1 次 | 高频对照 320 次
失活 -> 生活   低频 1 次 | 高频对照 312 次
玉要 -> 主要   低频 1 次 | 高频对照 309 次
使月 -> 使用   低频 1 次 | 高频对照 293 次
是的 -> 定的   低频 1 次 | 高频对照 290 次
人见 -> 人员   低频 1 次 | 高频对照 288 次
人财 -> 人员   低频 1 次 | 高频对照 288 次
年物 -> 生物   低频 1 次 | 高频对照 285 次
度现 -> 发现   低频 1 次 | 高频对照 268 次
少时 -> 小时   低频 1 次 | 高频对照 252 次
一足 -> 一定   低频 1 次 | 高频对照 250 次
入数 -> 人数   低频 1 次 | 高频对照 247 次
产年 -> 产生   低频 1 次 | 高频对照 232 次
作月 -> 作用   低频 1 次 | 高频对照 230 次
利明 -> 利用   低频 1 次 | 高频对照 225 次
田分 -> 百分   低频 1 次 | 高频对照 223 次
白分 -> 百分   低频 1 次 | 高频对照 223 次
口分 -> 百分   低频 1 次 | 高频对照 223 次
目分 -> 百分   低频 1 次 | 高频对照 223 次
由分 -> 百分   低频 1 次 | 高频对照 223 次
自分 -> 百分   低频 1 次 | 高频对照 223 次
季反 -> 季度   低频 1 次 | 高频对照 214 次
击的 -> 出的   低频 1 次 | 高频对照 213 次
万光 -> 万元   低频 1 次 | 高频对照 211 次
营理 -> 管理   低频 1 次 | 高频对照 206 次
水手 -> 水平   低频 1 次 | 高频对照 206 次
水丰 -> 水平   低频 1 次 | 高频对照 206 次
个日 -> 个百   低频 1 次 | 高频对照 204 次
个口 -> 个百   低频 1 次 | 高频对照 204 次
个旧 -> 个百   低频 1 次 | 高频对照 204 次
学司 -> 学习   低频 1 次 | 高频对照 203 次
要水 -> 要求   低频 1 次 | 高频对照 203 次
的午 -> 的生   低频 1 次 | 高频对照 200 次
的失 -> 的生   低频 1 次 | 高频对照 200 次
理关 -> 量关   低频 1 次 | 高频对照 191 次
足指 -> 是指   低频 1 次 | 高频对照 186 次
黑的 -> 量的   低频 1 次 | 高频对照 186 次
夹的 -> 大的   低频 1 次 | 高频对照 184 次
太的 -> 大的   低频 1 次 | 高频对照 184 次
据正 -> 据上   低频 1 次 | 高频对照 182 次
汉律 -> 法律   低频 1 次 | 高频对照 182 次
成东 -> 成本   低频 1 次 | 高频对照 180 次
方注 -> 方法   低频 1 次 | 高频对照 180 次
注正 -> 法正   低频 1 次 | 高频对照 177 次
是义 -> 定义   低频 1 次 | 高频对照 174 次
肉的 -> 同的   低频 1 次 | 高频对照 172 次
雨的 -> 同的   低频 1 次 | 高频对照 172 次
不走 -> 不是   低频 1 次 | 高频对照 168 次
对王 -> 对于   低频 1 次 | 高频对照 167 次
维动 -> 推动   低频 1 次 | 高频对照 165 次
自色 -> 自已   低频 1 次 | 高频对照 164 次
现家 -> 现象   低频 1 次 | 高频对照 159 次
人王 -> 人工   低频 1 次 | 高频对照 156 次
人目 -> 人口   低频 1 次 | 高频对照 156 次
人且 -> 人口   低频 1 次 | 高频对照 156 次
人白 -> 人口   低频 1 次 | 高频对照 156 次
就足 -> 就是   低频 1 次 | 高频对照 155 次
就走 -> 就是   低频 1 次 | 高频对照 155 次
述是 -> 述定   低频 1 次 | 高频对照 154 次
而积 -> 面积   低频 1 次 | 高频对照 154 次
支学 -> 文学   低频 1 次 | 高频对照 150 次
氏族 -> 民族   低频 1 次 | 高频对照 148 次
的午 -> 的年   低频 1 次 | 高频对照 145 次
的失 -> 的年   低频 1 次 | 高频对照 145 次
凤险 -> 风险   低频 1 次 | 高频对照 144 次
维进 -> 推进   低频 1 次 | 高频对照 139 次
出旧 -> 出口   低频 1 次 | 高频对照 136 次
出电 -> 出口   低频 1 次 | 高频对照 136 次
出由 -> 出口   低频 1 次 | 高频对照 136 次
山口 -> 出口   低频 1 次 | 高频对照 136 次
表而 -> 表面   低频 1 次 | 高频对照 136 次
木能 -> 才能   低频 1 次 | 高频对照 132 次
应明 -> 应用   低频 1 次 | 高频对照 131 次
应月 -> 应用   低频 1 次 | 高频对照 131 次
且于 -> 由于   低频 1 次 | 高频对照 129 次
高土 -> 高于   低频 1 次 | 高频对照 129 次
高千 -> 高于   低频 1 次 | 高频对照 129 次
高工 -> 高于   低频 1 次 | 高频对照 129 次
甲于 -> 由于   低频 1 次 | 高频对照 129 次
亲在 -> 意在   低频 1 次 | 高频对照 128 次
辛在 -> 意在   低频 1 次 | 高频对照 128 次
一北 -> 一些   低频 1 次 | 高频对照 124 次
一非 -> 一些   低频 1 次 | 高频对照 124 次
牛的 -> 生的   低频 1 次 | 高频对照 120 次
乎台 -> 平台   低频 1 次 | 高频对照 118 次
乎的 -> 来的   低频 1 次 | 高频对照 117 次
毛的 -> 来的   低频 1 次 | 高频对照 117 次
于业 -> 工业   低频 1 次 | 高频对照 113 次
无江 -> 无法   低频 1 次 | 高频对照 111 次
合种 -> 各种   低频 1 次 | 高频对照 110 次
甫的 -> 用的   低频 1 次 | 高频对照 110 次
又体 -> 人体   低频 1 次 | 高频对照 109 次
年采 -> 年来   低频 1 次 | 高频对照 109 次
牛来 -> 年来   低频 1 次 | 高频对照 109 次
人东 -> 人才   低频 1 次 | 高频对照 108 次
牛的 -> 年的   低频 1 次 | 高频对照 107 次
的失 -> 的大   低频 1 次 | 高频对照 106 次
乙再 -> 乙两   低频 1 次 | 高频对照 105 次
于智 -> 工智   低频 1 次 | 高频对照 105 次
工米 -> 千米   低频 1 次 | 高频对照 104 次
满是 -> 满足   低频 1 次 | 高频对照 100 次
的岳 -> 的原   低频 1 次 | 高频对照 99 次
的街 -> 的行   低频 1 次 | 高频对照 97 次
的衔 -> 的行   低频 1 次 | 高频对照 97 次
员王 -> 员工   低频 1 次 | 高频对照 96 次
员于 -> 员工   低频 1 次 | 高频对照 96 次
中难 -> 中推   低频 1 次 | 高频对照 95 次
合代 -> 古代   低频 1 次 | 高频对照 92 次
程发 -> 程度   低频 1 次 | 高频对照 92 次
入均 -> 人均   低频 1 次 | 高频对照 92 次
再一 -> 同一   低频 1 次 | 高频对照 91 次
足中 -> 是中   低频 1 次 | 高频对照 91 次
内一 -> 同一   低频 1 次 | 高频对照 91 次
走中 -> 是中   低频 1 次 | 高频对照 91 次
同三 -> 同一   低频 1 次 | 高频对照 91 次
两一 -> 同一   低频 1 次 | 高频对照 91 次
刀的 -> 力的   低频 1 次 | 高频对照 90 次
九的 -> 力的   低频 1 次 | 高频对照 90 次
上失 -> 上年   低频 1 次 | 高频对照 89 次
集以 -> 难以   低频 1 次 | 高频对照 88 次
黑的 -> 理的   低频 1 次 | 高频对照 88 次
维以 -> 难以   低频 1 次 | 高频对照 88 次
生全 -> 年全   低频 1 次 | 高频对照 87 次
羊年 -> 半年   低频 1 次 | 高频对照 87 次
